2021-03-11 02:03:52,120 INFO    Thread-61 :38431 [wandb_setup.py:_flush():69] setting env: {'entity': 'notarchana', 'project': 'CS6910-A1', 'root_dir': '/home/krishna/iit/sem6/dl/CS6910-A1', 'run_id': 'elndclwj', 'sweep_param_path': '/home/krishna/iit/sem6/dl/CS6910-A1/wandb/sweep-dadl6r89/config-elndclwj.yaml', 'sweep_id': 'dadl6r89'}
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_setup.py:_flush():69] setting login settings: {}
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:_log_setup():334] Logging user logs to /home/krishna/iit/sem6/dl/CS6910-A1/wandb/run-20210311_020352-elndclwj/logs/debug.log
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:_log_setup():335] Logging internal logs to /home/krishna/iit/sem6/dl/CS6910-A1/wandb/run-20210311_020352-elndclwj/logs/debug-internal.log
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:_jupyter_setup():285] configuring jupyter hooks <wandb.sdk.wandb_init._WandbInit object at 0x7f2920399730>
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:init():367] calling init triggers
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:init():372] wandb.init called with sweep_config: {'activation': 'relu', 'batch_size': 32, 'epochs': 10, 'hidden_layer_size': 64, 'hidden_layers': 5, 'lr': 0.0001, 'optimiser': 'nadam', 'weight_decay': 0.5, 'weight_init': 'xavier'}
config: {'epochs': 5, 'hidden_layers': 3, 'lr': 0.001, 'activation': 'sigmoid', 'optimiser': 'sgd', 'batch_size': 32, 'weight_init': 'random'}
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [wandb_init.py:init():416] starting backend
2021-03-11 02:03:52,121 INFO    Thread-61 :38431 [backend.py:_multiprocessing_setup():69] multiprocessing start_methods=fork,spawn,forkserver, using: spawn
2021-03-11 02:03:52,123 INFO    Thread-61 :38431 [backend.py:ensure_launched():123] starting backend process...
2021-03-11 02:03:52,127 INFO    Thread-61 :38431 [backend.py:ensure_launched():127] started backend process with pid: 42435
2021-03-11 02:03:52,128 INFO    Thread-61 :38431 [wandb_init.py:init():421] backend started and connected
2021-03-11 02:03:52,138 INFO    Thread-61 :38431 [wandb_run.py:_config_callback():733] config_cb None None {'activation': 'relu', 'batch_size': 32, 'epochs': 10, 'hidden_layer_size': 64, 'hidden_layers': 5, 'lr': 0.0001, 'optimiser': 'nadam', 'weight_decay': 0.5, 'weight_init': 'xavier'}
2021-03-11 02:03:52,138 INFO    Thread-61 :38431 [wandb_init.py:init():461] updated telemetry
2021-03-11 02:03:52,139 INFO    Thread-61 :38431 [wandb_init.py:init():480] communicating current version
2021-03-11 02:03:52,703 INFO    Thread-61 :38431 [wandb_init.py:init():485] got version response 
2021-03-11 02:03:52,703 INFO    Thread-61 :38431 [wandb_init.py:init():493] communicating run to backend with 30 second timeout
2021-03-11 02:03:53,149 INFO    Thread-61 :38431 [wandb_init.py:init():518] starting run threads in backend
2021-03-11 02:03:54,144 INFO    Thread-61 :38431 [wandb_run.py:_console_start():1480] atexit reg
2021-03-11 02:03:54,144 INFO    Thread-61 :38431 [wandb_run.py:_redirect():1343] redirect: SettingsConsole.WRAP
2021-03-11 02:03:54,144 INFO    Thread-61 :38431 [wandb_run.py:_redirect():1378] Wrapping output streams.
2021-03-11 02:03:54,144 INFO    Thread-61 :38431 [wandb_run.py:_redirect():1394] Redirects installed.
2021-03-11 02:03:54,144 INFO    Thread-61 :38431 [wandb_init.py:init():542] run started, returning control to user process
2021-03-11 09:04:45,451 INFO    MainThread:38431 [wandb_init.py:_pause_backend():247] pausing backend
2021-03-11 09:04:45,451 INFO    MainThread:38431 [jupyter.py:save_ipynb():265] not saving jupyter notebook
2021-03-11 09:04:45,457 INFO    Thread-61 :38431 [wandb_run.py:finish():1139] finishing run notarchana/CS6910-A1/elndclwj
